ID_Casa,DIR,dire,lat,lon
567,Sta Fe,Sta Fe,-31.4921042,-60.7294718
571,Belgrano y Sta Fe,Belgrano y Sta Fe,-31.4899188,-60.7371681
574,Belgrano 790,Belgrano 790,-31.4898191,-60.7371542
576,Calle presbitero Martinez,Calle presbitero Martinez,-31.4897116,-60.7292396
579,Belgrano 609,Belgrano 609,-31.4879362,-60.7364913
580,Belgrano 624,Belgrano 624,-31.4880908,-60.7365809
585,Calle presbitero Martinez 1445,Calle presbitero Martinez 1445,-31.4877198,-60.7370306
588,Belgrano 634,Belgrano 634,-31.4881928,-60.7366144
590,Belgrano 674,Belgrano 674,-31.4886008,-60.736748
592,Lehmann 1923,Lehmann 1923,-31.4880201,-60.7402757
594,Sta Fe 1464,Sta Fe 1464,-31.4897131,-60.7379459
595,Lehmann 1471,Lehmann 1471,-31.4886608,-60.7376801
598,Sta Fe 1492,Sta Fe 1492,-31.4896312,-60.7382832
601,Sta Fe 1414,Sta Fe 1414,-31.4898595,-60.7373436
603,Martin guemes 717,Martin guemes 717,-31.4887437,-60.7380674
607,Sta Fe 1442,Sta Fe 1442,-31.4897775,-60.7376809
608,Sta Fe 1414,Sta Fe 1414,-31.4898595,-60.7373436
611,Belgrano 8086,Belgrano 8086,-31.5827251,-60.6854441
614,Sta Fe 1473,Sta Fe 1473,-31.4897945,-60.737748
616,Sta Fe 1435,Sta Fe 1435,-31.4898667,-60.737451
619,Martin guemes 802,Martin guemes 802,-31.4896535,-60.7384013
622,Sta Fe 1415,Sta Fe 1415,-31.4899047,-60.7372947
630,Mitre 1164,Mitre 1164,-31.4916354,-60.7346591
631,Mitre 1184,Mitre 1184,-31.4915763,-60.7348997
634,Sta Fe 1129,Sta Fe 1129,-31.4907317,-60.7338855
637,Sta Fe 1101,Sta Fe 1101,-31.4908145,-60.7335486
638,Simon de Iriondo 860,Simon de Iriondo 860,-31.4914323,-60.7359341
646,Pje.  San Jose 1472,Pje.  San Jose 1472,-31.4860534,-60.7368454
648,J. R. Aldao 861,J. R. Aldao 861,-31.4911458,-60.7349305
654,Sta Fe 1535,Sta Fe 1535,-31.4895345,-60.7388057
658,J. R. Aldao 775,J. R. Aldao 775,-31.4902492,-60.7346311
667,Simon de Iriondo 747,Simon de Iriondo 747,-31.4902564,-60.7333301
668,Lehmann 1145,Lehmann 1145,-31.489643,-60.7337343
670,Sta Fe 1146,Sta Fe 1146,-31.4906477,-60.7340917
671,Sta Fe,Sta Fe,-31.4921042,-60.7294718
676,J. R. Aldao 305,J. R. Aldao 305,-31.4853437,-60.7330472
677,J. R. Aldao 677,J. R. Aldao 677,-31.4892283,-60.734299
682,Simon de Iriondo 688,Simon de Iriondo 688,-31.4896462,-60.7331658
692,lehmann 1180,lehmann 1180,-31.4895031,-60.7341584
693,Lehmann 1156,Lehmann 1156,-31.4895759,-60.7338686
694,lehmann 1190,lehmann 1190,-31.4894727,-60.7342791
696,Calle presbitero Martinez 1163,Calle presbitero Martinez 1163,-31.4885577,-60.7336161
702,Simon de Iriondo 516,Simon de Iriondo 516,-31.4878549,-60.7325664
703,Simon de Iriondo 594,Simon de Iriondo 594,-31.4886743,-60.7328422
705,Mateo Booz 1165,Mateo Booz 1165,-31.4874986,-60.7332932
706,Mateo Booz 1115,Mateo Booz 1115,-31.4876505,-60.732678
707,Mateo Booz 1191,Mateo Booz 1191,-31.4874196,-60.7336132
708,J. R. Aldao 543,J. R. Aldao 543,-31.4878346,-60.7338485
717,J. R. Aldao 567,J. R. Aldao 567,-31.4880877,-60.733931
720,Calle presbitero Martinez 1166,Calle presbitero Martinez 1166,-31.4885149,-60.7336545
724,Simon de Iriondo 566,Simon de Iriondo 566,-31.4883801,-60.7327432
726,J. R. Aldao 516,J. R. Aldao 516,-31.4875519,-60.7337953
729,Pje.  San Jose 1462,Pje.  San Jose 1462,-31.4860823,-60.7367227
730,Pje.  San Jose 1422,Pje.  San Jose 1422,-31.4861978,-60.736232
731,Pje.  San Jose 1480,Pje.  San Jose 1480,-31.4860303,-60.7369435
738,J. R. Aldao 570,J. R. Aldao 570,-31.4881213,-60.733981
739,J. R. Aldao 594,J. R. Aldao 594,-31.4883744,-60.7340635
740,J. R. Aldao 582,J. R. Aldao 582,-31.4882478,-60.7340222
743,Calle presbitero Martinez 1258,Calle presbitero Martinez 1258,-31.488243,-60.7347718
746,Mateo Booz 1395,Mateo Booz 1395,-31.4868267,-60.7360704
748,Calle presbitero Martinez 1390,Calle presbitero Martinez 1390,-31.4878515,-60.7363655
752,Mateo Booz 1365,Mateo Booz 1365,-31.4869139,-60.7357105
